GPT-4 Accuracy	ChatGPT Accuracy	BERT Accuracy	Author	Title	Year	Bing Hits	Google Hits	C4 Hits	Pile Hits	Source	Sub-source	ChatGPT predicted year	GPT-4 predicted year	ID
0.98	0.82	0	Lewis Carroll	Alice's Adventures in Wonderland	1865	14.6	2590.9	56.3	43.1	pre-1923 LitBank		1865	1865	11_alices_adventures_in_wonderland
0.76	0.43	0	J.K. Rowling	Harry Potter and the Sorcerer's Stone	1997	6.4	3074.1	4.7	7.6	Genre Fiction	SF/Fantasy	1997	1997	rowling_harry_potter_and_the_sorcerers_stone_Harry_Potter_and_the_Sorcerer_s_Stone
0.74	0.29	0	Nathaniel Hawthorne	The Scarlet Letter	1850	12.1	993.1	4.6	23.5	pre-1923 LitBank		1850	1850	33_the_scarlet_letter
0.72	0.11	0	Arthur Conan Doyle	The Adventures of Sherlock Holmes	1892	7.8	765.4	17.9	31.3	pre-1923 LitBank		1892	1892	1661_the_adventures_of_sherlock_holmes
0.7	0.1	0	Jane Austen	Emma	1815	2.5	79	7.5	19.1	pre-1923 LitBank		1815	1815	158_emma
0.65	0.19	0	Mary Wollstonecraft Shelley	Frankenstein; Or, The Modern Prometheus	1823	12.5	694.9	8.8	31.3	pre-1923 LitBank		1818	1818	84_frankenstein_or_the_modern_prometheus
0.62	0.13	0	Jane Austen	Pride and Prejudice	1813	6.6	24204.4	36.7	27	pre-1923 LitBank		1813	1813	1342_pride_and_prejudice
0.61	0.18	0	Charles Dickens	Oliver Twist	1838	2.5	34.5	3.6	21.3	pre-1923 LitBank		1837	1838	730_oliver_twist
0.61	0.3	0	Herman Melville	Bartleby, the Scrivener: A Story of Wall-Street	1853	6.7	684.9	22.9	30.8	pre-1923 LitBank		1853	1853	11231_bartleby_the_scrivener_a_story_of_wallstreet
0.61	0.35	0	Mark Twain	Adventures of Huckleberry Finn	1884	5.3	1100.3	11.7	24.8	pre-1923 LitBank		1884	1884	76_adventures_of_huckleberry_finn
0.61	0.08	0	Bram Stoker	Dracula	1897	3.5	38.4	4.6	19.9	pre-1923 LitBank		1897	1897	345_dracula
0.59	0.22	0	Herman Melville	Moby Dick; Or, The Whale	1851	7.2	118.1	16.5	17.8	pre-1923 LitBank		1851	1851	2489_moby_dick
0.59	0.13	0	Arthur Conan Doyle	The Hound of the Baskervilles	1902	3.9	570.1	7.2	16.7	pre-1923 LitBank		1902	1902	2852_the_hound_of_the_baskervilles
0.58	0.35	0	Mark Twain	The Adventures of Tom Sawyer	1876	3.7	343	12	15.9	pre-1923 LitBank		1876	1876	74_the_adventures_of_tom_sawyer
0.57	0.3	0	George Orwell	1984	1949	4.9	8791.2	15.4	13.4	Genre Fiction	SF/Fantasy	1949	1949	orwell_1984_1984
0.54	0.1	0	L. M. Montgomery	Anne of Green Gables	1908	5	279.7	14.2	11.5	pre-1923 LitBank		1908	1910	45_anne_of_green_gables
0.51	0.2	0.01	J.R.R. Tolkien	The Fellowship of the Ring	1954	4.2	1780.3	5.3	4.2	Genre Fiction	SF/Fantasy	1954	1954	tolkien_lord_of_the_rings_The_Fellowship_of_the_Ring
0.49	0.16	0.13	E.L. James	Fifty Shades of Grey	2012	0.7	4	0.6	3.3	Bestsellers		2011	2011	james_fifty_shades_of_grey_Fifty_Shades_of_Grey
0.49	0.16	0	Charlotte Brontë	Jane Eyre: An Autobiography	1847	4.6	7014.4	6.4	17.7	pre-1923 LitBank		1847	1847	1260_jane_eyre_an_autobiography
0.49	0.12	0	Robert Louis Stevenson	Treasure Island	1883	4.3	17148.4	5.1	18.8	pre-1923 LitBank		1883	1883	120_treasure_island
0.49	0.22	0	Jack London	The Call of the Wild	1903	9.3	143.3	6.9	17.7	pre-1923 LitBank		1903	1903	215_the_call_of_the_wild
0.49	0.24	0.01	Frances Hodgson Burnett	The Secret Garden	1911	3.7	216.2	3.3	13.7	pre-1923 LitBank		1911	1911	113_the_secret_garden
0.48	0.14	0	Suzanne Collins	The Hunger Games	2008	4	92.8	2.1	4.3	Genre Fiction	SF/Fantasy	2008	2010	collins_the_hunger_games_The_Hunger_Games
0.47	0.2	0.01	James Joyce	A Portrait of the Artist as a Young Man	1916	1.3	1207	5.4	17.9	pre-1923 LitBank		1922	1916	4217_a_portrait_of_the_artist_as_a_young_man
0.45	0.09	0	Emily Brontë	Wuthering Heights	1847	4	715.5	6.4	21.2	pre-1923 LitBank		1847	1847	768_wuthering_heights
0.45	0.1	0.01	Louisa May Alcott	Little Women	1868	2.3	100.3	3.5	15	pre-1923 LitBank		1868	1869	514_little_women
0.43	0.27	0	William Golding	Lord of the Flies	1954	6	113.3	1.1	1.8	Genre Fiction	Horror	1954	1954	golding_lord_of_the_flies_Lord_of_the_Flies
